system_code,location_code,location_name,Managed_by_name,location_type_description,Location_Category_Description,Status_descriptions,primary_address_line_1,lon,lat
22K198,K198,P.S. 198 Brooklyn,DOE,General Academic,Elementary,Open,4105 FARRAGUT ROAD,-73.937083,40.637601
21K199,K199,P.S. 199 Frederick Wachtel,DOE,General Academic,Elementary,Open,1100 ELM AVENUE,-73.963026,40.61631
20K200,K200,P.S. 200 Benson School,DOE,General Academic,Elementary,Open,1940 BENSON AVENUE,-74.001915,40.602809
20K201,K201,J.H.S. 201 The Dyker Heights,DOE,General Academic,Junior High-Intermediate-Middle,Open,8010 12 AVENUE,-74.013749,40.619043
19K202,K202,P.S. 202 Ernest S. Jenkyns,DOE,General Academic,Elementary,Open,982 HEGEMAN AVENUE,-73.876084,40.665817
22K203,K203,P.S. 203 Floyd Bennett School,DOE,General Academic,Elementary,Open,5101 AVENUE M,-73.925732,40.622108
20K204,K204,P.S. 204 Vince Lombardi,DOE,General Academic,Elementary,Open,8101 15 AVENUE,-74.006137,40.613535
20K205,K205,P.S. 205 Clarion,DOE,General Academic,Elementary,Open,6701 20 AVENUE,-73.986792,40.614737
22K206,K206,P.S. 206 Joseph F Lamb,DOE,General Academic,K-8,Open,2200 GRAVESEND NECK ROAD,-73.948453,40.596876
22K207,K207,P.S. 207 Elizabeth G. Leary,DOE,General Academic,K-8,Open,4011 FILLMORE AVENUE,-73.930485,40.613981
18K208,K208,P.S. 208 Elsa Ebeling,DOE,General Academic,Elementary,Open,4801 AVENUE D,-73.930898,40.6427
21K209,K209,P.S. 209 Margaret Mead,DOE,General Academic,K-8,Open,2609 EAST  7 STREET,-73.961191,40.5868
18K211,K211,I.S. 211 John Wilson,DOE,General Academic,Junior High-Intermediate-Middle,Open,1001 EAST 100 STREET,-73.895224,40.642931
21K212,K212,P.S. 212 Lady Deborah Moody,DOE,General Academic,Elementary,Open,87 BAY  49 STREET,-73.985368,40.587612
19K213,K213,P.S. 213 New Lots,DOE,General Academic,Elementary,Open,580 HEGEMAN AVENUE,-73.889968,40.659845
19K214,K214,P.S. 214 Michael Friedsam,DOE,General Academic,Elementary,Open,2944 PITKIN AVENUE,-73.862961,40.675881
21K215,K215,P.S. 215 Morris H. Weiss,DOE,General Academic,Elementary,Open,415 AVENUE S,-73.970171,40.602722
21K216,K216,P.S. 216 Arturo Toscanini,DOE,General Academic,Elementary,Open,350 AVENUE X,-73.969647,40.59
22K217,K217,P.S. 217 Colonel David Marcus School,DOE,General Academic,Elementary,Open,1100 NEWKIRK AVENUE,-73.966442,40.633482
19K218,K218,J.H.S. 218 James P. Sinnott,DOE,General Academic,Junior High-Intermediate-Middle,Open,370 FOUNTAIN AVENUE,-73.874537,40.67002
18K219,K219,P.S. 219 Kennedy-King,DOE,General Academic,Elementary,Open,1060 CLARKSON AVENUE,-73.922296,40.658834
20K220,K220,J.H.S. 220 John J. Pershing,DOE,General Academic,Junior High-Intermediate-Middle,Open,4812 9TH AVENUE,-74.00125,40.640997
17K221,K221,P.S. 221 Toussaint L'Ouverture,DOE,General Academic,Elementary,Open,791 EMPIRE BOULEVARD,-73.935753,40.663964
22K222,K222,P.S. 222 Katherine R. Snyder,DOE,General Academic,Elementary,Open,3301 QUENTIN ROAD,-73.939205,40.614005
20K223,K223,J.H.S. 223 The Montauk,DOE,General Academic,Junior High-Intermediate-Middle,Open,4200 16 AVENUE,-73.982424,40.6351
